	geneId	group	sample	cateRange	typeMethy	median	mean	std
0	101108002	A	A0316	Distal	hmd	84.57	78.814125	18.12561318119856
1	101108002	A	A0351	Distal	hmd	88.761665	82.47966	17.671069788433318
2	101108002	A	AH003	Distal	hmd	90.91	84.71148	16.616284992367195
3	101108002	B	B0316	Distal	hmd	90.0	82.4475	19.701586058963418
4	101108002	B	B0351	Distal	hmd	90.94125	85.655334	17.45736338778104
5	101108002	B	BH003	Distal	hmd	90.35	85.34321	16.896984802081153
6	101108002	C	C0316	Distal	hmd	86.777	80.54677	18.711726410850066
7	101108002	C	C0351	Distal	hmd	88.463745	83.716034	16.487566125449153
8	101108002	C	CH003	Distal	hmd	92.105	85.948944	16.713910896544466
9	101108002	D	D0316	Distal	hmd	89.33833	81.53814	21.260904728889344
10	101108002	D	D0351	Distal	hmd	87.975006	81.843575	19.775023494271842
11	101108002	D	DH003	Distal	hmd	88.76459	82.02685	19.952642613035874
